ID,Title,Summary,Author/Source,Date,URL,Location,Country,Latitude,Longitude,Dumping Entity,Legal Actions,Estimated Waste Volume (tons),Year,Waste Type,Environmental Impact
1.0,Toxic Waste Dumping in Somalia,Greenpeace uncovered illegal dumping along the Somali coast.,Greenpeace,1970-01-01,https://www.greenpeace.org/somalia-toxic-waste,Somali Coast,Somalia,2.0469,45.3182,Unknown Entities,No legal action,0.0,1970.0,Toxic & Radioactive,"Severe impact on marine life, possible health issues"
2.0,Trafigura Toxic Waste Scandal,"Trafigura dumped hazardous waste in Abidjan, affecting 100,000 people.",Amnesty & Greenpeace,1970-01-01,https://www.greenpeace.org/trafigura-toxic-dumping,"Abidjan, Côte d'Ivoire",Côte d'Ivoire,5.3453,-4.0244,Trafigura,Lawsuit settled for $200M,500.0,1970.0,Toxic Chemical Waste,"Health crisis affecting 100,000 people"
3.0,A Ban on Dumping Radioactive Waste at Sea,37 nations agreed to ban radioactive waste dumping at sea.,Greenpeace,1970-01-01,https://www.greenpeace.org/radioactive-waste-ban,Atlantic Ocean,Multiple countries,0.0,-30.0,Multiple countries (Pre-ban),Ban enforced,0.0,1970.0,Radioactive Waste,"Long-term radiation risks, ecosystem contamination"
4.0,The True Cost of Nuclear Power in South Africa,Report on nuclear waste challenges in South Africa.,Greenpeace Africa,1970-01-01,https://www.greenpeace.org/south-africa-nuclear-waste,"Koeberg, South Africa",South Africa,-33.6833,18.4333,South African Nuclear Facilities,Ongoing legal & environmental debates,300.0,1970.0,Radioactive Waste,"Storage issues, groundwater contamination risk"
5.0,Nuclear Waste Dumping in Somalia: Claims and Investigations,Study evaluates claims of radioactive waste off the Somali coast.,Transparency Solutions,1970-01-01,https://transparencysolutions.com/nuclear-waste-somalia,Somali Coast,Somalia,2.0469,45.3182,Unknown Entities,No legal action,0.0,1970.0,Radioactive Waste,"Unverified reports of radiation sickness, ecological impact"
6.0,Toxic Colonialism: Waste Dumping in Africa,Greenpeace tracks 115 toxic waste shipments to Africa.,Greenpeace International,1970-01-01,https://www.greenpeace.org/toxic-waste-africa,West African Coast,West Africa,6.5244,3.3792,Western Corporations,Some companies fined,0.0,1970.0,Toxic Industrial Waste,"Chemical pollution, soil and water contamination"
0.0,Unknown,No summary available,Unknown,2005,No URL available,Mombasa,Kenya,-4.0435,39.6682,Unknown,No legal action reported,500.0,2005.0,Nuclear,No environmental impact recorded
0.0,Unknown,No summary available,Unknown,2007,No URL available,Lagos,Nigeria,6.5244,3.3792,Unknown,No legal action reported,1200.0,2007.0,Toxic,No environmental impact recorded
0.0,Unknown,No summary available,Unknown,2010,No URL available,Accra,Ghana,5.56,-0.205,Unknown,No legal action reported,300.0,2010.0,Nuclear,No environmental impact recorded
0.0,Unknown,No summary available,Unknown,2012,No URL available,Durban,South Africa,-29.8587,31.0218,Unknown,No legal action reported,800.0,2012.0,Toxic,No environmental impact recorded
0.0,Unknown,No summary available,Unknown,Unknown,No URL available,Unknown,Unknown,0.0,0.0,Unknown,No legal action reported,0.0,0.0,Unknown,No environmental impact recorded
7.0,Environmental Injustice and Electronic Waste in Ghana: Challenges and Recommendations,The article discusses the environmental and health challenges posed by electronic waste (e-waste) in Ghana.,"Anuli Njoku, Martin Agbalenyo, Janaya Laude, Taiwo Folake Ajibola, Mavis Asiwome Attah, Samuel Bruce Sarko",2023-12-23,https://pmc.ncbi.nlm.nih.gov/articles/PMC10815197/,Ghana,Ghana,7.9465,-1.0232,Unknown,No legal action reported,0.0,2023.0,Electronic Waste,No environmental impact recorded
8.0,The Trajectory of Illicit Waste Trade in Africa: Implications for Human Rights and Sustainable Development,This article examines the ongoing issue of illicit waste trade in Africa.,Nnamdi Stanislaus Umenze,2020,https://unisapressjournals.co.za/index.php/JLSD/article/view/6318,Africa (general focus),Africa,7.1881,21.0936,Unknown,No legal action reported,0.0,2020.0,Illicit Waste Trade,No environmental impact recorded
